time,places,tweet
2023-03-16 05:11:55,"Melbourne, Australia","🌸✨Aki came homeeee✨🌸!!
30 pulls for Aki and even my first Airaaaa too omfg!!!
#eversoul https://t.co/F28VD125wA"
2023-03-16 04:36:01,"Earth, Asia AR60","@Eversoul_EN 100 pulls got 2 Aki, 1 Honglan, 1 Catherine and 1 Naiah. https://t.co/hFQv8Fs965"
2023-03-16 04:16:42,Indonesia,BEST AKI PICK UP BANNER SUMMON AND BUILD RECOMMENDATION - EVERSOUL https://t.co/7I3b4Fqtpa #eversoul
2023-03-16 04:13:56,The Moon,@Time_Chaser @Eversoul_EN Welcome to Gacha games.
2023-03-16 04:13:37,The Moon,@Andrejo_lopez @Eversoul_EN That's Gacha.
2023-03-16 04:09:19,,@Eversoul_EN 250 fcking pull and 10 epic off banner from Aki banner... Not a single Aki soul. The rate is a lie... To get 10 epic and not a single Aki.
2023-03-16 03:57:40,,"@HotFlakesN7 @Eversoul_EN Everyone who works on this game is amazing, I will never witness that in all the games I have played, they give a player full attention."
2023-03-15 22:13:31,,Oof gunna take a bit to get there lol #eversoul https://t.co/pgQPXuhItn
2023-03-15 18:19:44,"Norwich, CT","Eversoul; Event Story: Spring Blooming In Your Heart, Episode 4: Spring ... https://t.co/RuHIC1MGey via @YouTube"
2023-03-15 17:03:39,Iraq,@Eversoul_EN My gems are ready...
2023-03-15 17:02:33,In the Wulfden,I’m always impressed with how well the community can come together to tell me how wrong I am 😭 if we could all come together this quickly on other stuff the world would be an amazing place Lmao! GGs y’all win this time @Eversoul_EN #Eversoul https://t.co/2AYdrHe1jT https://t.co/0v6QC18Rvl
2023-03-15 16:15:13,Romania,@AgonistKira @Eversoul_EN Unfortunately they're more of a collect and forget type of characters. Can barely use Origin normal characters because they still get 1shot in Guild Raid so unless you got at least Legendary+ they'd not be very useful.
2023-03-15 16:10:20,London,@HotFlakesN7 @Eversoul_EN Hear hear!! Sad times 😔 I have Adrienne but not her as well
2023-03-15 16:01:42,Romania,@AgonistKira @Eversoul_EN Feels like Ayame is even harder to get than Adrianne. Feels a bit extra to have lower rates for them cuz I don't even see giga whales using them. RIP
2023-03-15 16:00:01,"Campbell, CA","👀🎮 Attention all Eversoul players! 

Have you met the new soul, Erika? 😍 

Learn more about her unique abilities and how she can enhance your gameplay. 🚀 

Play Now: https://t.co/exc1uctOhT

#Eversoul #NewSoul #GamingUpdates #BlueStacks #BlueStacks5 https://t.co/43n4I5GZBS"
2023-03-15 15:51:44,"Arkansas, USA",So long as I'm not entirely exhausted from work I will be having a few recordings to take care of today both covering Tower of fantasy and Eversoul. 🤞🤞🤞
2023-03-15 15:17:33,,My second eternal pretty happy #eversoul https://t.co/fTCfeMZThT
2023-03-15 14:58:08,Romania,"@xnasfg @Eversoul_EN It's ok, they'll make it so it doesn't decrease once you finish the story. Good thing we all complained about it."
2023-03-15 14:36:07,,@Eversoul_EN Why is the number of hearts in a love story so slow?
2023-03-15 14:35:05,London,"@Eversoul_EN I still need her and Ayame, pls send me some gatcha luck admin"
2023-03-15 14:29:16,,"Violette - Soulteaser

""I think the sound of your scream will be sweet to my ears...
Hahaha, scream for me, cutie!""

#Eversoul #gacha #mobilegaming https://t.co/zA1zB5OqiF"
2023-03-15 13:57:17,,@Eversoul_EN why did u put the retry button over the attack button? So easily to spam attack and then hit retry by accident when the round ends. Please be more mindful of design. https://t.co/vvvmHVDHfb
2023-03-15 12:42:13,,"@Eversoul_EN Got tired of this simply because being able to play it as a norm became a issue

Login in and check free roll or artifact roll, force quit

Checking city force quit midway

Gameplay framerates spike when doing challenges and or pvp, spike cause game to quit"
2023-03-15 12:20:08,Romania,@Eversoul_EN Can't wait for the new changes!
2023-03-15 10:42:48,"Auvergne, France",@sfduelgame @Jinroh2015 @Eversoul_EN It resolved it for myself but I lost my account. How can I log in to my account again please ? The game is currently wanting me to start with a new account.
