time,places,tweet
2023-02-18 15:45:14,,whitelist Intereworking Assistant @ongsm_family @akr_hrk @rogerrNFT @datuko0122 @AngelaEllen11 @saraivette12 @curahan_hati @SakshiWilcox @kyledd6 @akashisama01220 https://t.co/5OI5zpxRqy
2023-02-18 14:29:40,,@hrk_kak0911 @GusVec @scottysmum22 @MRuth_98 @elokmil23 @CzechNFT_scout @0x_anwar @Chandashanda @luckyfromNecef @PreDataEth Broo I wish I won 0xd9AFF003EB1CCdDFB8A1F621909717D71fA9C1bB
2023-02-18 14:14:32,hundred acre wood,"barely have sugar, unnecessary spice and everything not nice"
2023-02-18 14:04:41,,"#SongKang_MOMENT fan taken photo by hrk_846 

South Korean actor Song Kang's 2023 Fanmeeting &lt;MOMENT&gt; in Osaka Japan 💜 
#송강 #宋江 #SONGKANG #ซงคัง #ソンガン https://t.co/fWFjxsAVJF"
2023-02-18 13:41:25,,@danredford70 Close enough https://t.co/dWP8L7HqRM
2023-02-18 13:35:05,,"【28 TRICKS LATER】

Day18.  2 Turn Flip Lunar

#けん玉 #kendama #今日のけん玉
#SWEETSKENDAMAS #SWEETSJPN #28trickslater https://t.co/0qnNBi00iM"
2023-02-18 12:36:00,Guwahati,@starindia @ZEECorporate @Sonynetworksfc @MIB_India  What's going on dear tv networks. Kindly resolve this matter as soon possible. Because in the prepaid system we have already paid this month's subscriptions. So why you &amp; @TRAI harassed us. https://t.co/UvvTvFpRe5
2023-02-18 12:12:31,,"@cxtesmile_hrk A small chuckle came from her, feeling all happy at this moment as Haruka liked her gift for the Valentineʼs Day!

“I wanted to be very romantic for this day, Haruka…”"
2023-02-18 12:04:41,"Perth, Western Australia","Chris Cornell  - ""Nothing Compares 2 U"" (Prince Cover) [Live @ SiriusXM]... https://t.co/f9Id2nkr0p via @YouTube"
2023-02-18 11:43:42,"Kohat, Pakistan",@PakPMO Joker of the century
2023-02-18 11:40:51,Hell / minors DNI,@hrk_chxn don't they typically have song lists in most karaoke places? :O
