2023-02-11 21:55:57,,"@ZaaRim_Aroi @hllod5 คุณขา เด็กรัฐศาสตร์ จุฬาฯ แค่ ส.ว senator, coalition party, government official, corrupted, government etc ดิฉันว่า อุ๊งอิ๊ง เธอรู้ค่ะ เธอคงอยากให้รายการดูไม่เป็นรายการซีเรียสประเภท สนทนาปัญหาบ้านเมือง อ่ะค่ะ 
เห็นเธอเขียนสาสน์แสดงความเสียใจแผ่นดินไหวตุรกีอยู่"
2023-02-11 21:55:42,Bangkok Thailand,"ยอดผู้เสียชีวิตแผ่นดินไหวตุรกี-ซีเรีย ทะลุ 29,000 แล้ว https://t.co/O98i52A3yf"
2023-02-11 19:16:08,"Stirling, Scotland",พ่อนี่สร้างตึกสูงใน กทม/ปริมณฑล อยู่หลายที่นะ นางก็บอกมาซักพัก (น่าจะเกิน 10 ปี) แล้วว่าตึกใหม่ ๆ เดี๋ยวนี้โครงสร้างเหมือนจะยังคับให้ใส่ตัวกันแผ่นดินไหวหมดแล้ว https://t.co/Vr7IaCZzG0
2023-02-11 19:15:09,,สงครามและแผ่นดินไหว วิกฤตซ้อนวิกฤตในซีเรีย – BBC News ไทย https://t.co/S7H4n9f1Ap
2023-02-11 19:16:08,"Stirling, Scotland",พ่อนี่สร้างตึกสูงใน กทม/ปริมณฑล อยู่หลายที่นะ นางก็บอกมาซักพัก (น่าจะเกิน 10 ปี) แล้วว่าตึกใหม่ ๆ เดี๋ยวนี้โครงสร้างเหมือนจะยังคับให้ใส่ตัวกันแผ่นดินไหวหมดแล้ว https://t.co/Vr7IaCZzG0
2023-02-11 19:15:09,,สงครามและแผ่นดินไหว วิกฤตซ้อนวิกฤตในซีเรีย – BBC News ไทย https://t.co/S7H4n9f1Ap
2023-02-11 16:39:00,♡ J.M J.K ♡,"โห แผ่นดินไหวแต่เราไม่ไหว น้องจองกุกเกินไปมาก ผมยาวกับรอยสักคือ 😭
#JungKook https://t.co/KgPtVG4xWU"
2023-02-11 16:39:00,♡ J.M J.K ♡,"โห แผ่นดินไหวแต่เราไม่ไหว น้องจองกุกเกินไปมาก ผมยาวกับรอยสักคือ 😭
#JungKook https://t.co/KgPtVG4xWU"
2023-02-11 14:04:23,,"‘แผ่นดินไหวตุรกี’ คร่าชีวิตแล้วกว่า 20,213 ราย https://t.co/TyGZPJukfB"
2023-02-11 14:04:03,,ขอโทษนะ แต่หัวสมองกุคือคิดว่า สมมติทำกิจกรรมบนเตียงแล้วเกิดการสั่นสะเทือนไรงี้ เตียงปิดทับหัวตายมั้ย หรือกำหนดระดับการสั่นสะเทือนไว้ ว่าระดับนี้คือแผ่นดินไหวนะ ไรงี้ 5555 https://t.co/4yEuqdPdJN
2023-02-11 14:04:23,,"‘แผ่นดินไหวตุรกี’ คร่าชีวิตแล้วกว่า 20,213 ราย https://t.co/TyGZPJukfB"
2023-02-11 14:04:03,,ขอโทษนะ แต่หัวสมองกุคือคิดว่า สมมติทำกิจกรรมบนเตียงแล้วเกิดการสั่นสะเทือนไรงี้ เตียงปิดทับหัวตายมั้ย หรือกำหนดระดับการสั่นสะเทือนไว้ ว่าระดับนี้คือแผ่นดินไหวนะ ไรงี้ 5555 https://t.co/4yEuqdPdJN
2023-02-11 08:54:17,,ที่บ้านญปแพง เพราะการก่อสร้างที่ทนแผ่นดินไหวด้วยหรือเปล่านะ
2023-02-11 08:53:42,,กีฬาโลกผนึกกำลังมอบ 1 ล้านเหรียญช่วยเหลือเหยื่อแผ่นดินไหวตุรกี-ซีเรีย https://t.co/RxmxTplpRf
2023-02-11 08:53:35,"Bangkok, Thailand","ส่งกำลังใจให้สุนัขกู้ภัยไทย น้องเซียร่า &amp; ซาฮาร่า K9 USAR Thailand 
เตรียมพร้อมปฏิบัติหน้าที่ค้นหาร่วมกับส่วนหน้า #USARTHAILAND เมือง Hatay ประเทศตุรกี ช่วยเหลือผู้ประสบภัย #แผ่นดินไหว

ขอบคุณภาพ-ข้อมูล: มูลนิธิเพื่อสิ่งแวดล้อมและสังคม 
#ThailandforTurkiye #แผ่นดินไหวตุรกี https://t.co/yDCX4AMUcn"
2023-02-11 08:54:17,,ที่บ้านญปแพง เพราะการก่อสร้างที่ทนแผ่นดินไหวด้วยหรือเปล่านะ
2023-02-11 08:53:42,,กีฬาโลกผนึกกำลังมอบ 1 ล้านเหรียญช่วยเหลือเหยื่อแผ่นดินไหวตุรกี-ซีเรีย https://t.co/RxmxTplpRf
2023-02-11 08:53:35,"Bangkok, Thailand","ส่งกำลังใจให้สุนัขกู้ภัยไทย น้องเซียร่า &amp; ซาฮาร่า K9 USAR Thailand 
เตรียมพร้อมปฏิบัติหน้าที่ค้นหาร่วมกับส่วนหน้า #USARTHAILAND เมือง Hatay ประเทศตุรกี ช่วยเหลือผู้ประสบภัย #แผ่นดินไหว

ขอบคุณภาพ-ข้อมูล: มูลนิธิเพื่อสิ่งแวดล้อมและสังคม 
#ThailandforTurkiye #แผ่นดินไหวตุรกี https://t.co/yDCX4AMUcn"
2023-02-11 03:44:51,Thailand,"3/..

รายละเอียดเพิ่มเติม
https://t.co/yKFoM7uyhj

#MonoNews #แผ่นดินไหว #ตุรกี #ซีเรีย"
2023-02-11 03:44:49,Thailand,"ผู้เสียชีวิตในเหตุแผ่นดินไหวตุรกี - ซีเรีย เกือบ 24,000 รายแล้ว

จากเหตุแผ่นดินไหวขนาด 7.8 เมื่อวันที่ 6 ก.พ.ที่ผ่านมา ยอดล่าสุดมีผู้เสียชีวิตแล้วเกือบ 24,000 ราย 

โดยทางการตุรกีระบุว่า มีผู้เสียชีวิตแล้วอย่างน้อย 23,766 ราย ในขณะที่ยอดผู้เสียชีวิตในซีเรียอย่างน้อย 3,553 ราย https://t.co/1utvyT0EOi"
2023-02-11 03:44:51,Thailand,"3/..

รายละเอียดเพิ่มเติม
https://t.co/yKFoM7uyhj

#MonoNews #แผ่นดินไหว #ตุรกี #ซีเรีย"
