10 ranking,number
ประกาศ,4
เลือกตั้ง,3
ซีเซียม,3
รัก,2
แอด,2
ไลน์,2
รวดเร็วทันใจ,2
ขั้นต่ำ,2
ถอน,2
ฝาก,2
